Year,Average price,Inflation adjusted price (2023 dollars)
1980,$0.78,
1981,$0.85,
1982,$0.90,	
1983,$0.94,	
1984,$1.01,
1985,$1.02,	
1986,$1.05,	
1987,$1.07,
1988,$1.09,	
1989,$1.17,	
1990,$1.17,	
1991,$1.25,	
1992,$1.25,	
1993,$1.25,
1994,$1.51,
1995,$1.53,
1996,$1.50,	
1997,$1.54,$2.75
1998,$1.58,$2.79
1999,$1.58,$2.72
2000,$1.58,$2.63
2001,$1.58,$2.51
2002,$1.58,$2.45
2003,$1.58,$2.38
2004,$1.58,$2.33
2005,$1.58,$2.24
2006,$1.58,$2.16
2007,$1.58,$2.01
2008,$1.58,$1.76
2009,$1.58,$1.74
2010,$1.58,$1.77
2011,$1.58,$1.67
2012,$1.58,$1.63
2013,$1.58,$1.60
2014,$1.58,$1.60
2015,$1.58,$1.58
2016,$1.80,$1.80
